,County,Year,AgeAdjustedRate,CaseCount,Population
0,Mono,2012-2016,25.9,20,70372
1,Marin,2012-2016,35.1,680,1299494
2,Monterey,2012-2016,36.8,763,2154029
3,Los Angeles,2012-2016,36.6,18307,50321257
4,Santa Cruz,2012-2016,37.0,538,1357213
5,Orange,2012-2016,39.3,6509,15674064
6,Ventura,2012-2016,39.4,1795,4220088
7,Mariposa,2012-2016,45.4,76,88616
8,Nevada,2012-2016,40.9,345,492547
9,Alameda,2012-2016,41.5,3416,8041533
10,San Benito,2012-2016,40.1,108,289744
11,San Mateo,2012-2016,40.1,1773,3786485
12,Tuolumne,2012-2016,42.9,202,269483
13,Yolo,2012-2016,43.6,405,1048800
14,Tulare,2012-2016,38.5,747,2280330
15,Sacramento,2012-2016,53.7,4077,7392971
16,Shasta,2012-2016,60.2,787,892591
17,Siskiyou,2012-2016,51.2,189,217877
18,Napa,2012-2016,46.3,429,702928
19,San Francisco,2012-2016,46.3,2288,4267357
20,Sutter,2012-2016,51.4,276,475609
21,Yuba,2012-2016,65.0,225,369019
22,Madera,2012-2016,46.9,361,767211
23,Stanislaus,2012-2016,48.7,1252,2651871
24,Santa Barbara,2012-2016,39.3,957,2197658
25,San Joaquin,2012-2016,51.7,1764,3576297
26,Tehama,2012-2016,60.9,269,315549
27,San Diego,2012-2016,43.7,7179,16260439
28,Kings,2012-2016,40.1,237,752081
29,Placer,2012-2016,44.6,1118,1849329
30,San Luis Obispo,2012-2016,43.2,814,1391569
31,Riverside,2012-2016,44.0,5294,11616550
32,Santa Clara,2012-2016,39.3,3720,9459844
33,Sonoma,2012-2016,43.4,1391,2491239
34,Imperial,2012-2016,38.5,322,894195
35,Amador,2012-2016,59.5,209,185015
36,Colusa,2012-2016,53.2,57,106940
37,Solano,2012-2016,50.6,1209,2149713
39,Trinity,2012-2016,61.6,72,65957
40,Lassen,2012-2016,44.6,76,159820
41,Plumas,2012-2016,43.1,74,94255
42,San Bernardino,2012-2016,42.7,3871,10525296
43,Inyo,2012-2016,45.6,71,91318
44,Contra Costa,2012-2016,42.7,2665,5550046
45,Glenn,2012-2016,61.6,101,139477
46,Lake,2012-2016,72.7,367,320233
47,Kern,2012-2016,47.0,1687,4355839
48,Mendocino,2012-2016,48.8,305,436842
49,Merced,2012-2016,48.0,537,1325684
50,Fresno,2012-2016,44.9,1946,4815675
51,Modoc,2012-2016,40.1,32,45587
52,Humboldt,2012-2016,55.2,463,675292
53,Butte,2012-2016,57.8,849,1117709
54,Calaveras,2012-2016,45.7,191,224439
55,Del Norte,2012-2016,52.6,93,137942
56,El Dorado,2012-2016,45.9,593,916768
