,Year,Geography,Geo_Group,Geo_ID,Cum_Number,Ave_Annual_Number
15,2011-2015,Community Area,1-Rogers Park,1,132,26
16,2011-2015,Community Area,2-West Ridge,2,193,39
17,2011-2015,Community Area,3-Uptown,3,149,30
18,2011-2015,Community Area,4-Lincoln Square,4,71,14
19,2011-2015,Community Area,5-North Center,5,69,14
20,2011-2015,Community Area,6-Lakeview,6,145,29
21,2011-2015,Community Area,7-Lincoln Park,7,134,27
22,2011-2015,Community Area,8-Near North Side,8,255,51
23,2011-2015,Community Area,9-Edison Park,9,39,8
24,2011-2015,Community Area,10-Norwood Park,10,182,36
25,2011-2015,Community Area,11-Jefferson Park,11,101,20
26,2011-2015,Community Area,12-Forest Glen,12,57,11
27,2011-2015,Community Area,13-North Park,13,60,12
28,2011-2015,Community Area,14-Albany Park,14,73,15
29,2011-2015,Community Area,15-Portage Park,15,217,43
30,2011-2015,Community Area,16-Irving Park,16,128,26
31,2011-2015,Community Area,17-Dunning,17,154,31
32,2011-2015,Community Area,18-Montclare,18,45,9
33,2011-2015,Community Area,19-Belmont Cragin,19,128,26
34,2011-2015,Community Area,20-Hermosa,20,33,7
35,2011-2015,Community Area,21-Avondale,21,57,11
36,2011-2015,Community Area,22-Logan Square,22,64,13
37,2011-2015,Community Area,23-Humboldt Park,23,112,22
38,2011-2015,Community Area,24-West Town,24,105,21
39,2011-2015,Community Area,25-Austin,25,412,82
40,2011-2015,Community Area,26-West Garfield Park,26,80,16
41,2011-2015,Community Area,27-East Garfield Park,27,69,14
42,2011-2015,Community Area,28-Near West Side,28,119,24
43,2011-2015,Community Area,29-North Lawndale,29,112,22
44,2011-2015,Community Area,30-South Lawndale,30,77,15
45,2011-2015,Community Area,31-Lower West Side,31,34,7
46,2011-2015,Community Area,32-Loop,32,61,12
47,2011-2015,Community Area,33-Near South Side,33,56,11
48,2011-2015,Community Area,34-Armour Square,34,73,15
49,2011-2015,Community Area,35-Douglas,35,105,21
50,2011-2015,Community Area,36-Oakland,36,28,6
51,2011-2015,Community Area,37-Fuller Park,37,27,5
52,2011-2015,Community Area,38-Grand Boulevard,38,121,24
53,2011-2015,Community Area,39-Kenwood,39,68,14
54,2011-2015,Community Area,40-Washington Park,40,45,9
55,2011-2015,Community Area,41-Hyde Park,41,65,13
56,2011-2015,Community Area,42-Woodlawn,42,95,19
57,2011-2015,Community Area,43-South Shore,43,205,41
58,2011-2015,Community Area,44-Chatham,44,160,32
59,2011-2015,Community Area,45-Avalon Park,45,47,9
60,2011-2015,Community Area,46-South Chicago,46,127,25
61,2011-2015,Community Area,47-Burnside,47,7,1
62,2011-2015,Community Area,48-Calumet Heights,48,65,13
63,2011-2015,Community Area,49-Roseland,49,188,38
64,2011-2015,Community Area,50-Pullman,50,32,6
65,2011-2015,Community Area,51-South Deering,51,58,12
66,2011-2015,Community Area,52-East Side,52,50,10
67,2011-2015,Community Area,53-West Pullman,53,149,30
68,2011-2015,Community Area,54-Riverdale,54,17,3
69,2011-2015,Community Area,55-Hegewisch,55,44,9
70,2011-2015,Community Area,56-Garfield Ridge,56,139,28
71,2011-2015,Community Area,57-Archer Heights,57,13,3
72,2011-2015,Community Area,58-Brighton Park,58,62,12
73,2011-2015,Community Area,59-McKinley Park,59,28,6
74,2011-2015,Community Area,60-Bridgeport,60,124,25
75,2011-2015,Community Area,61-New City,61,85,17
76,2011-2015,Community Area,62-West Elsdon,62,22,4
77,2011-2015,Community Area,63-Gage Park,63,40,8
78,2011-2015,Community Area,64-Clearing,64,100,20
79,2011-2015,Community Area,65-West Lawn,65,52,10
80,2011-2015,Community Area,66-Chicago Lawn,66,136,27
81,2011-2015,Community Area,67-West Englewood,67,166,33
82,2011-2015,Community Area,68-Englewood,68,129,26
83,2011-2015,Community Area,69-Greater Grand Crossing,69,160,32
84,2011-2015,Community Area,70-Ashburn,70,140,28
85,2011-2015,Community Area,71-Auburn Gresham,71,258,52
86,2011-2015,Community Area,72-Beverly,72,70,14
87,2011-2015,Community Area,73-Washington Heights,73,133,27
88,2011-2015,Community Area,74-Mount Greenwood,74,79,16
89,2011-2015,Community Area,75-Morgan Park,75,116,23
90,2011-2015,Community Area,76-O'Hare,76,38,8
91,2011-2015,Community Area,77-Edgewater,77,155,31
